TOT_POP,40-49,50-59,60-69,70-79,80+,White-alone pop,POP_ESTIMATE_2018,High school diploma only 2014-18,Some college or associate's degree 2014-18,Civilian_labor_force_2018,Employed_2018,Total Population,Population Aged 60+,county_pop2018_18 and older,anycondition_number,Obesity_number,COPD_number,diabetes_number,CKD_number,Heart disease_number
7033,906,1146,973,548,227,6747,7033,1812,1114,2033,1904,6717,1622,5682,3400,2523,978,1051,247,742
2113,193,287,458,379,154,2067,2113,550,550,882,821,2136,907,1800,904,610,193,256,73,207
3499,420,453,446,295,137,3290,3499,822,731,1645,1596,3836,907,2642,1307,1012,185,413,96,219
46248,5494,6235,5773,3447,2172,44617,46248,12010,7781,23481,22735,46752,10866,34658,16720,12823,3570,4577,1139,2912
1937570,270163,252777,186657,109920,69056,1028134,1937570,191695,294921,1048804,1021522,1911226,338720,1513143,426522,289010,57548,143158,35804,67657
11049,1339,1739,1532,1014,533,10597,11049,3200,1879,5076,4858,11044,3113,8739,4801,3496,1286,1473,350,1052
97493,11740,14043,13434,8064,4457,90639,97493,30434,18792,44247,41917,98622,25127,75972,37964,28414,8944,10983,2737,7585
2922,293,426,459,300,227,2795,2922,762,755,1468,1426,2964,874,2317,1025,714,163,276,83,220
7142,761,1054,890,564,409,6970,7142,1673,1852,4089,3983,7175,1814,5381,2253,1760,371,552,161,396
55808,6150,7548,8214,5699,2067,50005,55808,12395,15496,22467,21255,52303,14565,43862,21671,14036,4371,5438,1548,3921
35232,3119,3168,3142,1673,1093,32602,35232,5184,5015,19019,18481,33697,5479,28009,9170,8151,1169,1890,611,1321
20917,2269,2821,2887,1502,1179,19599,20917,5017,4770,10536,10272,21058,5310,16727,7243,5754,1152,1706,503,1294
15902,1875,2128,1912,1401,811,10963,15902,4836,2561,6839,6524,15952,3997,12412,6610,4866,1488,2032,514,1297
24133,2887,3236,3392,2096,1190,23298,24133,6908,5084,13639,13220,24279,6402,18486,9016,6636,1896,2528,600,1566
40878,5288,5473,4918,3356,1650,38052,40878,11915,6133,16736,16075,40210,9356,31296,16595,11047,4040,4797,1181,3235
14539,1588,1935,2062,1331,954,14210,14539,3928,3893,7833,7618,14822,4297,11268,5142,4135,843,1246,357,908
1308,141,205,161,89,71,463,1308,397,272,378,344,1296,285,1156,725,548,150,238,56,132
